1201,US,201,NJ,North Jersey,Jersey City, Hoboken, Hackensack,The very first area code ever assigned (1947). Home to the Sopranos settings.
1202,US,202,DC,Washington D.C.,The entire District of Columbia,,,Strictly the District. A status symbol for politicos and lobbyists.
1203,US,203,CT,Southwest Connecticut,Fairfield County, Stamford, Greenwich,"The ""Gold Coast"" of Connecticut; hedge fund country close to NYC."
1205,US,205,AL,Birmingham,Birmingham, Tuscaloosa,,Historically covered the entire state of Alabama.
1206,US,206,WA,Seattle,Seattle, Shoreline, Bainbridge Island,The original grunge-era code. Suburbs like Bellevue are 425.
1207,US,207,ME,Maine,Entire State,,,"One of the few remaining single-code states. ""The 207"" is a point of state pride."
1208,US,208,ID,Idaho,Entire State (historically),,,"Idaho is famously protective of its ""208"" identity despite new overlays."
1209,US,209,CA,Central Valley,Stockton, Modesto, Yosemite,Agricultural hub; famously shouted out by the Diaz brothers (UFC fighters).
1210,US,210,TX,San Antonio,Downtown, Alamo Heights, Pearl District,"The ""Military City"" code. One of the original Texas area codes."
1212,US,212,NY,Manhattan,Manhattan (Strictly),,,"The ""Gold Standard"" of phone numbers. Indicates you have had a landline since the 90s."
1213,US,213,CA,Los Angeles (Downtown),DTLA, Staples Center, USC,The original SoCal code (1947). Now mostly strictly Downtown LA.
1214,US,214,TX,Dallas (Core),Downtown, Uptown, Deep Ellum,"The original Dallas code. historically considered the ""prestige"" code vs. the suburban 972."
1215,US,215,PA,Philadelphia,Center City, South Philly, North Philly,"The original Philly code. ""The 215"" vs the suburban ""610""."
1216,US,216,OH,Cleveland,Cleveland proper, The Flats,,"Famous from ""The Drew Carey Show"" and Bone Thugs-N-Harmony songs."
1217,US,217,IL,Central Illinois,Springfield, Champaign-Urbana,,Home to the State Capitol and University of Illinois.
1219,US,219,IN,Northwest Indiana,Gary, Hammond," ""The Region""",Culturally part of the Chicago metro area (suburbs) but in Indiana.
1225,US,225,LA,Baton Rouge,Baton Rouge, LSU area,," spells ""CAJ"" on the dial pad."
